"code","c_actual_controller","c_final_controller","c_chairman","c_chairman_secretary","c_legal_representative","c_general_manager"
"600241","辽宁省人民政府国有资产监督管理委员会","辽宁省人民政府国有资产监督管理委员会","罗卫明","庄绍英","罗卫明","邓庆祝"
"600242","陈建铭","陈建铭","厉群南","何永祥","-","厉群南"
"600243","于世光、朱砂","于世光、朱砂","于世光","李祥军","于世光","于世光"
"600246","王忆会","王忆会","江泓毅","王炜鹏","江泓毅","姚鹏"
"600247","朱敏","朱敏","方项","赖淑婷","方项","申方文"
"600248","陕西省人民政府国有资产监督管理委员会","陕西省人民政府国有资产监督管理委员会","高建成","赵永宏","高建成","符杰平"
"600249","柳州市人民政府国有资产监督管理委员会","柳州市人民政府国有资产监督管理委员会","林钻煌","韦元贤","林钻煌","吴堃"
"600250","南京市人民政府国有资产监督管理委员会","南京市人民政府国有资产监督管理委员会","徐德健","张金源","徐德健","丁益兵"
"600251","新疆生产建设兵团农业建设第二师","新疆生产建设兵团农业建设第二师","刘中海","金建霞","刘中海","肖莉"
"600252","广西壮族自治区人民政府国有资产监督管理委员会","广西壮族自治区人民政府国有资产监督管理委员会","焦明","王锋","焦明","焦明"
"600255","冯青青","冯青青","宋志刚","张龙","宋志刚","陈锡龙"
"600256","孙广信","孙广信","吴晓勇","倪娟","吴晓勇","林发现"
"600257","罗祖亮","罗祖亮","罗订坤","杨明","罗订坤","罗订坤"
"600258","北京市人民政府国有资产监督管理委员会","北京市人民政府国有资产监督管理委员会","周红","段中鹏","周红","孙坚"
"600259","广东省人民政府国有资产监督管理委员会","广东省人民政府国有资产监督管理委员会","吴泽林","潘文皓","吴泽林","刘聪"
"600260","公安县凯乐塑管厂","公安县凯乐塑管厂","朱弟雄","陈杰","朱弟雄","马圣竣"
"600261","陈森洁及其家族关联人","陈森洁及其家族关联人","陈卫","赵芳华","陈卫","官勇"
"600262","中国兵器工业集团有限公司","国务院国有资产监督管理委员会","高汝森","常德明","高汝森","邬青峰"
"600265","郑家纯","郑家纯","程霄","李旭","程霄","许强"
"600266","北京市国有资产监督管理委员会","北京市国有资产监督管理委员会","陈代华","张财广","陈代华","储昭武"
"600267","台州市椒江区国有资产经营有限公司","台州市椒江区人民政府","蒋国平","沈锡飞","蒋国平","李琰"
"600268","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","王凤蛟","解宏松","王凤蛟","经海林"
"600269","江西省交通运输厅","江西省交通运输厅","王国强","梁志爱","王国强","-"
"600271","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","马天晖","马振洲","马天晖","陈荣兴"
"600272","上海市静安区国有资产监督管理委员会","上海市静安区国有资产监督管理委员会","庄虔赟","张燕华","庄虔赟","刘光靓"
"600273","管建忠","管建忠","管建忠","马现华","管建忠","汪建平"
"600275","翦英海","翦英海","高士庆","高士庆","高士庆","樊国红"
"600276","孙飘扬","孙飘扬","孙飘扬","刘笑含","孙飘扬","周云曙"
"600277","王文彪","王文彪","王文彪","侯菁慧","王文彪","王钟涛"
"600278","上海市国有资产监督管理委员会","上海市国有资产监督管理委员会","季胜君","陈乃轶","季胜君","瞿元庆"
"600279","重庆两江新区管理委员会","重庆两江新区管理委员会","杨昌学","张强","杨昌学","熊维明"
"600280","祝义财","祝义财","祝珺","官国宝","祝珺","谈建林"
"600281","山西省国有资产监督管理委员会","山西省国有资产监督管理委员会","张旭升","景红升","张旭升","魏洪亮"
"600282","郭广昌","郭广昌","黄一新","徐林","黄一新","祝瑞荣"
"600283","水利部综合事业局","水利部综合事业局","叶建桥","朱建","叶建桥","何刚信"
"600284","上海市浦东新区国有资产监督管理委员会","上海市浦东新区国有资产监督管理委员会","-","朱音","-","杨明"
"600285","熊维政、熊伟","熊维政、熊伟","熊伟","叶强","熊伟","熊伟"
"600287","江苏省人民政府国有资产监督管理委员会","江苏省人民政府国有资产监督管理委员会","高松","李焱","高松","桂生春"
"600288","郑素贞","郑素贞","鲁勇志","严宏深","鲁勇志","鲁勇志"
"600289","邓伟","邓伟","田绪文","方圆","田绪文","田绪文"
"600290","陈道荣","陈道荣","陈孟列","金旭丹","陈孟列","张学民"
"600291","肖卫华","肖卫华","郭予丰","苏宏伟","郭予丰","郭予丰"
