机构名称,类型
广东君浩股权投资控股有限公司,一般法人
深圳市东部投资发展股份有限公司,一般法人
深圳市特发集团有限公司,一般法人
深圳远致富海珠宝产业投资企业(有限合伙),一般法人
中航国际控股股份有限公司,一般法人
全国社保基金114组合,社保基金
吉林日昇投资管理有限公司,信托公司
新沃通盈灵活配置混合型证券投资基金,基金
深圳市赫利丰原商贸有限公司,一般法人
领航集团有限公司,QFII
全国社保基金407组合,社保基金
中国医药对外贸易有限公司,一般法人
中邮核心竞争力灵活配置混合型证券投资基金,基金
北京昊青财富投资管理有限公司,信托公司
南方中小盘成长股票型证券投资基金,基金
南方潜力新蓝筹混合型证券投资基金,基金
嘉实医疗保健股票型证券投资基金,基金
国联安价值优选股票型证券投资基金,基金
国联安安稳灵活配置混合型证券投资基金,基金
国联安德盛小盘精选证券投资基金,基金
国联安锐意成长混合型证券投资基金,基金
国药控股股份有限公司,一般法人
基本养老保险基金1003组合,社保基金
天弘医疗健康混合型证券投资基金A,基金
富达基金(香港)有限公司,QFII
工银瑞信添福债券型证券投资基金A,基金
工银瑞信灵活配置混合型证券投资基金A,基金
新华丰利债券型证券投资基金A,基金
新华增盈回报债券型证券投资基金,基金
景顺长城中小盘混合型证券投资基金,基金
景顺长城景瑞睿利回报定期开放混合型证券投资基金,基金
景顺长城景颐双利债券型证券投资基金A类,基金
景顺长城景颐宏利债券型证券投资基金A,基金
一汽股权投资(天津)有限公司,一般法人
中欧基金-中欧中证金融资产管理计划,一般法人
南方基金公司-南方中证金融资产管理计划,一般法人
吉林省国有资本运营有限责任公司,一般法人
吉林省天亿投资有限公司,一般法人
工银瑞信基金公司-工银瑞信中证金融资产管理计划,一般法人
中粮集团有限公司,一般法人
交银施罗德品质升级混合型证券投资基金,基金
交银施罗德消费新驱动股票型证券投资基金,基金
交银施罗德股息优化混合型证券投资基金,基金
交银施罗德趋势优先混合型证券投资基金,基金
全国社保基金108组合,社保基金
博时主题行业混合型证券投资基金(LOF),基金
嘉实腾讯自选股大数据策略股票型证券投资基金,基金
易方达基金-工商银行-易方达基金臻选2号资产管理计划,一般法人
泰达宏利中证500指数分级证券投资基金,基金
浙商全景消费混合型证券投资基金,基金
融通新蓝筹证券投资基金,基金
融通逆向策略灵活配置混合型证券投资基金,基金
融通通乾研究精选灵活配置混合型证券投资基金,基金
诺安中证500指数增强型证券投资基金,基金
鹏华量化先锋混合型证券投资基金,基金
中国中电国际信息服务有限公司,一般法人
中国人民人寿保险股份有限公司,保险公司
中国电子进出口有限公司,一般法人
中电金投控股有限公司,一般法人
深圳市龙岗区城市建设投资集团有限公司,一般法人
中信建投基金管理有限公司-中信建投基金定增16号资产管理计划,一般法人
中国希格玛有限公司,一般法人
信达澳银新能源产业股票型证券投资基金,基金
全国社保基金413组合,社保基金
嘉实主题新动力混合型证券投资基金,基金
嘉实逆向策略股票型证券投资基金,基金
深圳市宝安建设投资集团有限公司,一般法人
英大领先回报混合型发起式证券投资基金,基金
重庆国投股权投资管理有限公司,一般法人
上海并购股权投资基金合伙企业(有限合伙),一般法人
中国天楹股份有限公司-第一期员工持股计划,一般法人
华宝投资有限公司,一般法人
南通乾创投资有限公司,一般法人
南通坤德投资有限公司,一般法人
建信基金-民生银行-民生加银资产管理有限公司,一般法人
民生加银基金-民生银行-民生加银资产管理有限公司,一般法人
汇添富中证环境治理指数型证券投资基金(LOF)A,基金
西部信托有限公司-西部信托-中国天楹定增事务管理类单一资金信托,一般法人
诺安高端制造股票型证券投资基金,基金
贵州铁路人保壹期壹号股权投资基金中心(有限合伙),一般法人
华宝标普中国A股红利机会指数证券投资基金(LOF)A类,基金
华联发展集团有限公司,一般法人
柳州佳力房地产开发有限责任公司,一般法人
柳州瑞恒机电有限责任公司,一般法人
云南国际信托有限公司,信托公司
孝昌和泰兴业投资中心(有限合伙),一般法人
青岛亚星实业有限公司,一般法人
中远集装箱工业有限公司,一般法人
博时中证央企结构调整交易型开放式指数证券投资基金,基金
国泰中证500指数增强型证券投资基金A,基金
大成基金公司-大成中证金融资产管理计划,一般法人
泰信中证锐联基本面400指数分级证券投资基金,基金
浦银安盛中证锐联基本面400指数证券投资基金,基金
银华基金公司-银华中证金融资产管理计划,一般法人
中铁宝盈资产-宝鑫77号特定客户资产管理计划,一般法人
九泰基金管理有限公司-恒胜新动力分级1号资产管理计划,一般法人
华润深国投信托有限公司,信托公司
南昌联泰投资有限公司,一般法人
深圳市中洲置地有限公司,一般法人
深圳市联泰房地产开发有限公司,一般法人
陕西省国际信托股份有限公司-陕国投·金元宝68号证券投资集合资金信托计划,一般法人
东吴安盈量化灵活配置混合型证券投资基金,基金
东方区域发展混合型证券投资基金,基金
东方周期优选灵活配置混合型证券投资基金,基金
东方成长收益灵活配置混合型证券投资基金A,基金
东方新价值混合型证券投资基金A,基金
中华联合财产保险股份有限公司,保险公司
中国航空技术深圳有限公司,一般法人
光大保德信信用添益债券型证券投资基金A类,基金
全国社保基金116组合,社保基金
前海开源外向企业股票型证券投资基金,基金
国泰事件驱动策略混合型证券投资基金,基金
国泰融安多策略灵活配置混合型证券投资基金,基金
宝盈新兴产业灵活配置混合型证券投资基金,基金
宝盈泛沿海区域增长混合型证券投资基金,基金
宝盈鸿利收益灵活配置混合型证券投资基金A,基金
新华优选成长混合型证券投资基金,基金
新华泛资源优势灵活配置混合型证券投资基金,基金
新华鑫益灵活配置混合型证券投资基金,基金
汇添富消费行业混合型证券投资基金,基金
泰康人寿保险有限责任公司,保险公司
深圳市中航城投资有限公司,一般法人
西安飞机工业(集团)有限责任公司,一般法人
鹏华沪深港互联网股票型证券投资基金,基金
深圳市深超科技投资有限公司,一般法人
中国泛海控股集团有限公司,一般法人
华鑫国际信托有限公司,信托公司
广东粤财信托有限公司,信托公司
德邦创新资本-渤海银行-中融国际信托有限公司,一般法人
林芝锦华投资管理有限公司,一般法人
泛海能源控股股份有限公司,一般法人
中银证券安弘债券型证券投资基金A,基金
中银证券聚瑞混合型证券投资基金A,基金
交银施罗德经济新动力混合型证券投资基金,基金
台湾人寿保险股份有限公司,QFII
嘉实新能源新材料股票型证券投资基金A,基金
嘉实智能汽车股票型证券投资基金,基金
嘉实环保低碳股票型证券投资基金,基金
国寿安保新蓝筹灵活配置混合型证券投资基金,基金
广东德赛集团有限公司,一般法人
招商中证500指数增强型证券投资基金A,基金
汇丰晋信双核策略混合型证券投资基金A,基金
浦银安盛新经济结构灵活配置混合型证券投资基金,基金
上海工业投资(集团)有限公司,一般法人
中国航空技术国际控股有限公司,一般法人
厦门金财产业发展有限公司,一般法人
成都产业投资集团有限公司,一般法人
武汉光谷新技术产业投资有限公司,一般法人
深圳市通产集团有限公司,一般法人
湖北省科技投资集团有限公司,一般法人
共青城时利和投资管理合伙企业(有限合伙),一般法人
深圳市邦林科技发展有限公司,一般法人
深圳市皇庭产业控股有限公司,一般法人
深圳市皇庭投资管理有限公司,一般法人
苏州和瑞九鼎投资中心(有限合伙),一般法人
浙江九章资产管理有限公司,信托公司
深圳市赛格集团有限公司,一般法人
中兵投资管理有限责任公司,一般法人
北方华锦化学工业集团有限公司__置否,一般法人
振华石油控股有限公司,一般法人
