股票代码,pid,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000533,59906,298.50万,0.44%,流通A股,8,2019-09-30
000533,59901,272.00万,0.40%,流通A股,9,2019-09-30
000534,59907,1772.31万,3.61%,流通A股,3,2019-09-30
000534,59908,509.97万,1.04%,流通A股,5,2019-09-30
000534,59909,463.71万,0.94%,流通A股,6,2019-09-30
000536,69916,610.49万,0.30%,流通A股,10,2019-09-30
000536,59910,1523.59万,0.76%,流通A股,8,2019-09-30
000537,59912,911.84万,1.78%,流通A股,4,2019-09-30
000537,59913,821.55万,1.60%,流通A股,6,2019-09-30
000537,59911,489.85万,0.96%,流通A股,9,2019-09-30
000538,30078,894.82万,1.47%,流通A股,9,2019-09-30
000539,59914,3160.60万,0.94%,流通A股,5,2019-09-30
000539,59915,2323.49万,0.69%,流通B股,6,2019-09-30
000540,59916,2080.00万,0.32%,流通A股,7,2019-09-30
000540,59917,1438.15万,0.22%,流通A股,8,2019-09-30
000540,59918,1256.61万,0.19%,流通A股,9,2019-09-30
000541,69917,786.88万,0.57%,流通A股,10,2019-09-30
000543,59919,1240.49万,0.69%,流通A股,8,2019-09-30
000544,59920,160.00万,0.16%,流通A股,10,2019-09-30
000544,59921,335.09万,0.34%,流通A股,5,2019-09-30
000544,59922,215.72万,0.22%,流通A股,7,2019-09-30
000544,59923,200.00万,0.21%,流通A股,8,2019-09-30
000544,59924,170.00万,0.17%,流通A股,9,2019-09-30
000545,59925,172.88万,0.18%,流通A股,10,2019-09-30
000545,59926,776.19万,0.81%,流通A股,4,2019-09-30
000545,59927,425.88万,0.44%,流通A股,5,2019-09-30
000545,59928,380.35万,0.40%,流通A股,6,2019-09-30
000545,59929,342.58万,0.36%,流通A股,7,2019-09-30
000545,59930,241.50万,0.25%,流通A股,8,2019-09-30
000545,59931,230.00万,0.24%,流通A股,9,2019-09-30
000546,59932,3989.87万,5.97%,流通A股,2,2019-09-30
000546,59933,3500.00万,5.24%,流通A股,3,2019-09-30
000547,59936,2536.23万,2.30%,流通A股,5,2019-09-30
